0,1,2,3,4,Unnamed: 0
0.05281245745470876,0.22539711528086456,0.19709836379404436,0.22398693541569584,0.3007051280546864,백아 - 테두리
0.0010836303869077718,0.011895017957124757,0.016247551956089252,0.9232516770066147,0.04752212269326345,"카더가든 - 그날, 우리"
0.0307291282543449,0.4421110032005372,0.17722600610629183,0.20588211363016223,0.14405174880866378,이고도 - Mouse
0.11496418440581548,0.21620320824595468,0.229245373829947,0.2128814936306053,0.22670573988767764,박소은 - 너는 나의 문학
0.003099223955011229,0.5667225343418761,0.09755523290862726,0.1911214122852808,0.14150159650920452,이강승 - 사랑이 너무 헤퍼
0.006339116844321517,0.48012901822489523,0.11856603254248163,0.27150019275741016,0.12346563963089142,김새녘 - 의심
0.1004864148592861,0.2798643291950714,0.21074326285278883,0.2608523892845401,0.14805360380831367,콜드 - 아무도 모르는 노래
0.009174326376366346,0.02593743180486645,0.02372295543697361,0.071226516195716,0.8699387701860777,위수 - 교토
0.003765318582352116,0.09384151580462816,0.05071613412329789,0.15890597868075002,0.6927710528089719,리도어 - 사랑의 미학
0.15072592652182104,0.17806468847045942,0.213093630003806,0.1448134175115584,0.31330233749235514,Off the menu - Sunshine
0.11520518106094876,0.37613642602905906,0.18659969053141304,0.1872280339703274,0.1348306684082517,백예린 - Antifreeze
0.02124975677498385,0.5100063573747621,0.08425055934867708,0.1590948795679917,0.2253984469335853,나이트오프 - 잠
0.22757379923434096,0.1702407268620118,0.32506961750505114,0.1961358368205144,0.08098001957808178,이희상 - 애열
0.06364500773154694,0.1266284698025648,0.4952684308927798,0.18482117480450583,0.12963691676860276,혁오 - Love Ya!
0.39306555005941674,0.15427005175017686,0.14125149050658717,0.1142763146073195,0.19713659307649978,검정치마 - 나랑 아니면
0.03993596468653579,0.0393344598199352,0.04121182015932062,0.09296668939261124,0.7865510659415973,N@di - 편지
0.12396836086371942,0.1867429819663345,0.1593618150537928,0.29773914406973156,0.23218769804642175,"다섯 - ,"
0.0038721180961098054,0.0276012436814517,0.03964140374411837,0.10761352502503725,0.821271709453283,정우물 - blue
0.005802216001681888,0.10979217306875949,0.33024055007645287,0.3435293210100607,0.21063573984304498,wave to earth - seasons
0.008836754272323522,0.10556599213399981,0.1776661033637789,0.16680119290464573,0.541129957325252,The 1975 - About You
0.0495757355767729,0.33173435202612966,0.183506441070893,0.23525531772297312,0.19992815360323135,예빛 - 소낙비
0.16718192981672644,0.2624836834572218,0.09203041027272287,0.3022778316433618,0.17602614480996714,cosmic boy - 겨울(feat.선우정아&유라)
0.0016677117724893263,0.010419238361518868,0.04229947027725713,0.09123764547960445,0.8543759341091302,브로콜리너마저 - 이웃에 방해가 되지 않는 선에서
0.08521250155345217,0.1558150587683464,0.23840282655098513,0.3369006996154517,0.18366891351176456,카더가든 - 꿈을 꿨어요
0.13611801701244494,0.1826264869821294,0.24821214714470038,0.19136373897487768,0.2416796098858475,참솜 - 명왕성
0.146408789586495,0.2953061706228067,0.1616164803350253,0.20868314206237265,0.18798541739330044,김수영 - 비워내려고 합니다
0.002750423389693724,0.08186382236599421,0.00887768895274664,0.12077649756787529,0.7857315677236902,BMK - 꽃피는 봄이 오면
0.0016449900011005487,0.03300434801836342,0.022525980726058933,0.14903918607751476,0.7937854951769623,언니네 이발관 - 가장 보통의 존재
0.05817333092806684,0.24474640217031693,0.25466968712818455,0.209290810503425,0.2331197692700066,"자우림 - 스물다섯, 스물하나"
0.3294125260364138,0.06755297915027307,0.06001322374117929,0.14554434769506366,0.3974769233770702,가을방학 - 가끔 미치도록 네가 안고 싶어 질때가 있어
0.004068095584688788,0.030548317132910435,0.06116786606655869,0.8632792526980533,0.040936468517788885,다이나믹 듀오 - 북향(feat.오혁)
0.0016580692950368893,0.047531311027601233,0.06843284304994635,0.7171320826186004,0.1652456940088151,colde - 벽
0.058704189203038784,0.2753115706698616,0.2903953310684801,0.1812495335133831,0.19433937554523648,윤지영 - 언젠가 너와 나(feat.카더가든)
0.8544001145816598,0.022435743990324716,0.020315853587243072,0.05893353150065159,0.04391475634012084,김사월 - 로맨스
0.004935621205290521,0.07720769412098057,0.04365110010882944,0.14896982230060146,0.7252357622642981,Verandah Project - 기필코
0.0465186971111061,0.3250225279182787,0.17511013954221727,0.3022633720609118,0.1510852633674863,딕펑스 - 바래져
0.001450101945492875,0.03742295475870869,0.02426697573985112,0.09550969733214199,0.8413502702238053,AKMU - 시간과 낙엽
0.21871135411047002,0.1801453813401211,0.20113481013740417,0.1805449485597166,0.21946350585228813,아이유 - 소격동
0.09798977993764835,0.0508468773815235,0.110699556243709,0.4850690401737609,0.2553947462633581,문문 - 애월
0.11563072711414617,0.18386766664044604,0.22496242090804727,0.2156367919579915,0.259902393379369,스텔라장 - 그대는 그대로
0.12882158624799006,0.16068778261668148,0.1823066233982723,0.19721105354476381,0.3309729541922924,좋아서하는밴드 - 1초 만에 만나는 방법
0.10380439853630478,0.052399005259971064,0.04715349655486745,0.6459596045943962,0.1506834950544605,AKMU - 그때 그 아이들은
0.051797216716140154,0.11639181439162705,0.12906165416944837,0.2784065208485477,0.4243427938742368,정키 - 홀로
0.3569937523636667,0.2117474140825431,0.1523670822360536,0.13462651582200702,0.1442652354957295,옥상달빛 - 빨주노초파남보
0.006617089429716831,0.04493466606270926,0.017452910091547466,0.44007662659379104,0.49091870782223535,정은지 - 하늘바라기
0.02991162131331905,0.028052864562606524,0.03986951238939561,0.10830492332042162,0.7938610784142571,제이레빗 - 내일을 묻는다
