,lyrics
Bazzi - Beautiful (Feat. Camila Cabello),"Hey
Beautiful beautiful
beautiful beautiful angel
Love your imperfections
every angle
Tomorrow comes and goes
before you know
So I just had to let you know
The way that Gucci look on you
amazing
But nothing can compare to
when you're naked
Now a Backwood and some
Henny got you faded
You're saying you're the one for me
I need to face it
Started when we were younger
Swear to God that I loved her
Sorry that your mom found out
Guess that we just really
had the thunder
Ain't nobody else said I'd be under
Beautiful
beautiful life right now
Beautiful
beautiful night right now
No no no
Hey
Beautiful beautiful
beautiful beautiful angel
Love your imperfections
every angle
Tomorrow comes and
goes before you know
So I just had to let you know
Oh my God
Where did the time go
I wished the hours
would go slow
How is it 6 AM
Your touch is heaven-sent
Beautiful
beautiful sight right now
Beautiful
beautiful life right now
Got the angels singing
oh-ah right now like
Oh-ah
This is why we’ve got to touch
Sometimes words are not enough
No
Painted in your golden kiss
Honey dripping from your lips
I thank God and my lucky stars
Darling
don't you know what you are
Yeah baby you are
Hey
Hey baby
Beautiful beautiful
beautiful beautiful angel
Ooh
Love your imperfections
every angle
Baby baby
Tomorrow comes and
goes before you know
Yeah baby
So I just had to let you know
The way that Gucci look
on you amazing
Yeah yeah
But nothing can compare to
when you're naked
Oh
Tomorrow comes and
goes before you know
Yeah
So I just had to let you know
Oh-know yeah
I just had to let you know
Swear to God you're beautiful
Yeah"
The Story Never Ends,"Stick stick to your stones
cause that's all you know
I was caught in the middle
I swallow my words
down to the bone
Cause nothing's that simple
Late at night you pour it out
Know that only brings you down
But go ahead give me
all the blame
Twist my words and
set them to flame woah
We all know
That you'll go tell
all of your friends
That I'm the one you wish you
never met
And woah
We all know
The story never ends ends
The story never ends ends
Wound me like a toy
spinning too fast
In every direction
How how could I stay
when you lit a match
to all my intentions
Late at night you pour it out
Know that only brings you down
But go ahead give me
all the blame
Twist my words and
set them to flame woah
We all know
That you'll go tell
all of your friends
That I'm the one you wish
you never met
And woah
We all know
The story never ends ends
The story never ends ends
That’s who you are
Crash the car
And blame the road
Never your fault
After all
I would know
The story never ends
The story
The story never ends ends
The story never ends ends
The story
The story
The story
The story"
Sam Smith - Make It To Me,"My mind runs away to you
With the thought I hope you'll see
Can't see where it's wandered to
But I know where it wants to be
I'm waiting patiently
though time is moving slow
I have one vacancy
and I wanted you to know that
You're the one designed for me
A distant stranger that I will complete
I know you're out there we're meant to be
So keep your head down and make it to me
And make it to me
So sick of this lonely air
It seems such a waste of breath
So much that I need to say
So much to get off my chest
I'm waiting patiently
though time is moving slow
I have one vacancy
and I wanted you to know that
You're the one designed for me
A distant stranger that I will complete
I know you're out there we're meant to be
So keep your head down and make it to me
Make it to me
Make it to me
Make it to me"
J.Fla - Shape Of You,"The club isn't the best
place to find a lover
So the bar is where I go
Me and my friends
at the table doing shots
Drinking fast and then we talk slow
Come over and start up a
conversation with just me
And trust me I'll give it a chance now
Take my hand stop
put Van the Man on the jukebox
And then we start to dance
and now I'm singing like
Do you know I want your love
Your love was handmade
for somebody like me
Come on now follow my lead
I may be crazy don't mind me
Say boy let's not talk too much
Grab on my waist and
put that body on me
Come on now follow my lead
Come come on now follow my lead
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bed sheets smell like you
Every day discovering
something brand new
I'm in love with your body
Oh I oh I oh I oh I
I'm in love with your body
Oh I oh I oh I oh I
I'm in love with your body
Oh I oh I oh I oh I
I'm in love with your body
Every day discovering
something brand new
I'm in love with the shape of you
One week in we let the story begin
We're going out on our first date
You and me are thrifty
so go all you can eat
Fill up your bag and I fill up a plate
We talk for hours and hours
about the sweet and the sour
And how your family’s doing ok
Leave and get in a taxi
then kiss in the backseat
Tell the driver make the radio play
and I'm singing like
Do you know I want your love
Your love was handmade
for somebody like me
Come on now follow my lead
I may be crazy don't mind me
Say boy let's not talk too much
Grab on my waist and
put that body on me
Come on now follow my lead
Come come on now follow my lead
I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bed sheets smell like you
Every day discovering
something brand new
I'm in love with your body
Oh I oh I oh I oh I
I'm in love with your body
Oh I oh I oh I oh I
I'm in love with your body
Oh I oh I oh I oh I
I'm in love with your body
Every day discovering
something brand new
I'm in love with the shape of you"
LANY - Pink Skies,"Thrift store fashion
imperfect tattoos
Taking showers minus shampoo
You are my favorite everything
Been telling girls
that since I was 16
Shut up I love you
you're my best friend
Get ya under pink skies
I know exactly where we should go
Cause I love the way your green eyes
mix with that Malibu indigo
Talking under pink skies
I think our hearts
are starting to show
And it's better you and I
under pink skies
Underwear I kinda care
wanna look good for you
British bomb
you turn me on no
matter what ya do
You are my favorite everything
Been telling you that since 2015
Shut up I love you
you're my best friend
Get you under pink skies
I know exactly where we should go
Cause I love the way your green eyes
mix with that Malibu indigo
Talking under pink skies
I think our hearts
are starting to show
And it's better you and I
under pink skies
We can work it out
You and I are meant to be together
This is how it's supposed to feel
I'm in love with how this feels
Get ya under pink skies
I know exactly where we should go
Cause I love the way your green eyes
mix with that Malibu indigo
Talking under pink skies
I think our hearts
are starting to show
That it's better you
and I under pink skies
Get you under pink skies
I know exactly where we should go
Cause I love the way your green eyes
mix with that Malibu indigo
Talking under pink skies
I think our hearts
are starting to show
And it's better you and I
under pink skies"
"Lauv, LANY - Mean It","Small talk no conversation
That look makes me impatient
I can’t tell
what you’re thinking
Please tell me
what you’re thinking
Last night we were more than fine
Just tell me
if you changed your mind
If you changed your mind
Cause I’m all I’m all in
Calling no answer
Would you text me
when you feel like
When it feels right to you
But I’m all I’m all in
I’m falling faster
If you’re looking at me
with a heart of doubt
Don’t kiss me right now
Don’t tell me that you need me
Don’t show up at my house
All caught up in your feelings
Don’t run me round and round
Don’t build me up
just to let me down
Just to let me down down down
hey
Don’t mess with my head
Don’t tell me you’re falling
with your feet
Still on the ledge
I’m all out of breath
Baby don’t run me round and round
Don’t kiss me
no don’t kiss me right now
On your lips just leave it
If you don’t mean it
Ooh yeah
You know you’ve got me
In the palm of your hand
But I love those hands
Oooh yeah
But you only let me hold you
when he can’t
Yeah I don’t understand
Cause I’m all I’m all in
I’m calling no answer
Would you text me
when you feel like
When it feels right to you
But I’m all I’m all in
I’m falling faster
If you’re looking at me
with a heart of doubt
Don’t kiss me right now
Don’t tell me that you need me
Don’t show up at my house
All caught up in your feelings
Don’t run me round and round
Don’t build me up
just to let me down
Just to let me down down down
hey
Don’t mess with my head
Don’t tell me you’re falling
with your feet
Still on the ledge
I’m all out of breath
Baby don’t run me round and round
Don’t kiss me
no don’t kiss me right now
On your lips just leave it
If you don’t mean it
Hurry home let’s never
leave the house
But you don’t mean it
Let’s stay in bed
while all our friends go out
But you don’t mean it
Why you let those words
Come out of your mouth
If you don’t mean it
You’ve been staring at me
With a heart of doubt
Don’t kiss me right now
Don’t tell me that you need me
Don’t show up at my house
All caught up in your feelings
Don’t run me round and round
Don’t build me up
just to let me down
Just to let me down down down
hey
Don’t mess with my head
Don’t tell me you’re falling
with your feet
Still on the ledge
I’m all out of breath
Baby don’t run me round and round
Don’t kiss me
no don’t kiss me right now
On your lips just leave it
If you don’t mean it"
LANY - ILYSB,"Ain't never felt this way
Can't get enough so stay with me
It's not like we got big plans
Let's drive around town holding hands

And you need to know
You're the only one, alright alright
And you need to know
That you keep me up all night, all night

Oh, my heart hurts so good
I love you, babe, so bad, so bad
Oh, oh my heart hurts so good
I love you, babe, so bad, so bad

Mad cool in all my clothes
Mad warm when you get close to me
Slow dance these summer nights
Our disco ball's my kitchen light

And you need to know
That nobody could take your place, your place
And you need to know
That I'm hella obsessed with your face, your face

Oh, my heart hurts so good
I love you, babe, so bad, so bad
Oh, oh my heart hurts so good
I love you, babe, so bad, so bad
Oh, oh my heart hurts so good
I love you, babe, so bad, so bad, oh

And you need to know
You're the only one alright, alright
And you need to know
That you keep me up all night, all night

Oh, my heart hurts so good
I love you, babe, so bad, so bad
Oh, oh my heart hurts so good
I love you, babe, so bad, so bad, oh
So bad, oh
Oh, my heart hurts
Oh, my heart hurts
Oh, my heart hurts
So bad, oh"
Dan + Shay - Speechless,"You say you'll be down in five
The smell of your perfume is floating down the stairs
You're fixing up your hair like you do
I know that I'll be a mess
The second that I see you
You won't be surprised
It happens every time
It's nothin' new

Pre-Chorus
It's always on a night like tonight
I thank God you can read my mind
'Cause when you look at me with those eyes

Chorus
I'm speechless
Starin' at you standin' there in that dress
What it's doin' to me ain't a secret
'Cause watching you is all that I can do
And I'm speechless
You already know that you're my weakness
After all this time I'm just as nervous
Every time you walk into the room
I'm speechless

Verse 2
It started when you said hello
Just did something to me
And I've been in a daze
Ever since the day that we met
You take the breath out of my lungs
Can't even fight it
And all of the words, out of my mouth without even tryin'

Chorus
And I'm speechless
Starin' at you standin' there in that dress
What it's doin' to me ain't a secret
'Cause watching you is all that I can do
And I'm speechless
You already know that you're my weakness
After all this time I'm just as nervous
Every time you walk into the room
I'm speechless

Bridge
Yeah, baby, mmm
It's always on a night like tonight
I think that you can read my mind
'Cause when you look at me with those eyes

Chorus
I'm speechless
You standin' there in that dress
Girl, it ain't a secret
'Cause watchin' you is all that I can do
Oh, I'm speechless
You already know that you're my weakness
After all this time I'm just as nervous
Every time you walk into the room
I'm speechless

Outro
Oh, you know it, baby"
"Dan + Shay, Justin Bieber - 10,000 Hours","Do you love the rain
does it make you dance
When you're drunk
with your friends at a party
What's your favorite song
does it make you smile
Do you think of me
When you close your eyes tell me
what are you dreamin'
Everything I wanna know it all
I'd spend ten thousand hours
and ten thousand more
Oh if that's what it takes
to learn
that sweet heart of yours
And I might never get there
but I'm gonna try
If it's ten thousand hours
or the rest of my life
I'm gonna love you
Ooh ooh ooh ooh ooh
Do you miss the road
that you grew up on
Did you get your middle name
from your grandma
When you think
about your forever now
do you think of me
When you close your eyes tell me
what are you dreamin'
Everything I wanna know it all
I'd spend ten thousand hours
and ten thousand more
Oh if that's what it takes to
learn
that sweet heart of yours
And I might never get there
but I'm gonna try
If it's ten thousand hours
or the rest of my life
I'm gonna love you
Ooh ooh ooh ooh ooh
I'm gonna love you
Ooh ooh ooh ooh ooh
Ooh want the good and the bad
and everything in between
Ooh gotta cure my curiosity
Ooh yeah
I'd spend ten thousand hours
and ten thousand more
Oh if that's what it takes to
learn
that sweet heart of yours
Sweet heart of yours
And I might never get there
but I'm gonna try Yeah
If it's ten thousand hours
or the rest of my life
I'm gonna love you
Ooh ooh ooh ooh ooh
I'm gonna love you
Ooh ooh ooh ooh ooh
Yeah
And I
Do you love the rain
does it make you dance
I'm gonna love you
I'm gonna love you
I'm gonna love you"
JAX - Like My Father,"I wanna come home to roses
And dirty little notes on Post-its
And when my hair
starts turning gray
He'll say I'm like a fine wine
better with age
I guess I learned it
from my parents
That true love starts
with friendship
A kiss on the forehead
a date night
Faking apology after a fight
I need a man
who's patient and kind
Gets out of the car
and holds the door
I wanna slow dance
in the living room like
We're eighteen
at senior prom and go
Old with someone
who makes me feel young
I need a man who loves me like
My father loves my mom
I want a road trip in the summers
I wanna make fun of each other
I wanna rock out to Billy Joel
And flip our kids off
when they call us old
He'll accidentally burn our dinner
And let me be the scrabble winner
And when my body changes shapes
He'll say Oh my God
you look hot today
I need a man
who's patient and kind
Gets out of the car
and holds the door
I wanna slow dance
in the living room like
We're eighteen
at senior prom and go
Old with someone
who makes me feel young
I need a man who loves me like
My father loves my mom
And if he lives up to my father
Maybe he could teach our daughter
What it takes to love a queen
She should know she's royalty
I need a man
who's patient and kind
Gets out of the car
and holds the door
I wanna slow dance
in the living room like
We're eighteen
at senior prom and go
Old with someone
who makes me feel young
I need a man who loves me like
My father loves my mom
I need a man who loves me like
My father loves my mom"
